GENE        	noTX	1buff_12h	1buff_24h	1buff_48h	wnt3a_12h	wnt3a_24h	wnt3a_48h	wnt5a_12h	wnt5a_24h	wnt5a_48h
MAF1        	14	13	16	14	12	15	16	16	13	12
MAFA        	0	0	0	0	1	0	0	0	0	0
MAFB        	0	0	0	0	0	0	0	0	0	0
MAFF        	1	0	0	0	2	0	1	2	0	1
MAFG        	0	0	1	0	0	0	0	0	1	0
MAFIP       	0	0	0	0	0	0	0	0	0	0
MAFK        	1	1	0	1	0	0	0	1	1	1
MAG         	0	0	0	0	0	0	0	0	0	0
MAGEA1      	0	0	0	0	0	0	0	0	0	0
MAGEA10     	0	0	0	0	0	0	0	0	0	0
MAGEA10-MAGEA5	0	0	0	0	0	0	0	0	0	0
MAGEA11     	0	0	0	0	0	0	0	0	0	0
MAGEA12     	0	0	0	0	0	0	0	0	0	0
MAGEA2      	0	0	0	0	0	0	0	0	0	0
MAGEA2B     	0	0	0	0	0	0	0	0	0	0
MAGEA3      	0	0	0	0	0	0	0	0	0	0
MAGEA4      	0	0	0	0	0	0	0	0	0	0
MAGEA5      	0	0	0	0	0	0	0	0	0	0
MAGEA6      	0	0	0	0	0	0	0	0	0	0
MAGEA8      	0	0	0	0	0	0	0	0	0	0
MAGEA9      	0	0	0	0	0	0	0	0	0	0
MAGEA9B     	0	0	0	0	0	0	0	0	0	0
MAGEB1      	0	0	0	0	0	0	0	0	0	0
MAGEB10     	0	0	0	0	0	0	0	0	0	0
MAGEB16     	0	0	0	0	0	0	0	0	0	0
MAGEB18     	0	0	0	0	0	0	0	0	0	0
MAGEB2      	0	0	0	0	0	0	0	0	0	0
MAGEB3      	0	0	0	0	0	0	0	0	0	0
MAGEB4      	0	0	0	0	0	0	0	0	0	0
MAGEB6      	0	0	0	0	0	0	0	0	0	0
MAGEC1      	0	0	0	0	0	0	0	0	0	0
MAGEC2      	0	0	0	0	0	0	0	0	0	0
MAGEC3      	0	0	0	0	0	0	0	0	0	0
MAGED1      	94	93	95	90	63	78	82	100	92	87
MAGED2      	101	93	94	104	72	69	69	76	67	68
MAGED4      	0	0	0	0	0	0	0	0	0	0
MAGED4B     	0	0	0	0	0	0	0	0	0	0
MAGEE1      	1	2	2	2	2	2	2	1	2	1
MAGEE2      	0	0	0	0	0	0	0	0	0	0
MAGEF1      	50	45	55	51	42	49	54	65	48	50
MAGEH1      	15	11	12	13	11	18	20	19	18	17
MAGEL2      	3	3	4	3	2	2	3	3	3	3
MAGI1       	16	16	17	15	15	19	23	25	22	21
MAGI2       	5	4	5	4	3	5	5	7	7	6
MAGI3       	2	3	3	2	2	3	3	3	3	3
MAGIX       	0	0	0	0	0	0	0	0	0	0
MAGOH       	32	24	29	33	24	28	24	32	22	25
MAGOHB      	6	6	8	6	7	8	8	9	8	7
MAGT1       	8	7	9	8	8	11	11	13	11	12
MAK         	0	0	0	0	0	0	2	0	1	0
MAK16       	16	16	17	16	18	22	24	23	22	22
MAL         	4	2	3	4	0	2	2	0	3	4
MAL2        	2	2	3	2	4	3	2	3	3	2
MALAT1      	52	55	60	50	47	46	50	62	49	51
MALL        	0	0	0	0	0	0	0	0	0	0
MALT1       	0	0	0	0	0	0	0	0	0	0
MAMDC2      	0	0	0	0	0	0	0	0	0	0
MAMDC4      	0	1	1	0	0	0	1	0	0	0
MAML1       	8	9	8	8	7	9	9	10	8	8
MAML2       	4	4	4	4	2	2	2	5	4	4
MAML3       	2	3	3	2	2	2	3	3	2	2
MAMLD1      	0	0	0	0	1	0	0	2	0	0
MAMSTR      	0	0	1	1	0	0	0	0	0	1
MAN1A1      	2	1	2	1	3	3	3	2	1	2
MAN1A2      	4	4	5	4	3	4	5	5	5	4
MAN1B1      	5	5	4	5	4	4	4	5	4	4
MAN1C1      	1	0	1	0	1	1	1	1	1	1
MAN2A1      	3	3	3	3	3	4	5	5	4	4
MAN2A2      	3	3	3	2	2	2	2	3	2	3
MAN2B1      	0	0	0	0	0	0	0	0	0	0
MAN2B2      	1	1	1	1	1	1	1	1	1	1
MAN2C1      	2	3	2	2	2	2	2	2	1	2
MANBA       	3	3	3	2	3	3	3	4	3	3
MANBAL      	56	54	51	58	43	46	46	45	42	42
MANEA       	14	13	14	13	13	18	18	19	17	15
MANEAL      	9	7	8	8	7	10	10	11	10	9
MANF        	54	50	56	51	54	57	55	76	52	54
MANSC1      	3	3	2	2	3	4	5	4	4	3
MANSC4      	0	0	0	0	0	0	0	0	0	0
MAOA        	0	0	1	0	0	1	1	1	1	0
MAOB        	0	0	0	0	0	0	1	0	0	0
MAP1A       	5	5	5	4	4	6	5	6	5	5
MAP1B       	41	38	45	38	30	40	41	64	47	46
MAP1LC3A    	0	0	0	0	0	0	0	0	0	0
MAP1LC3B    	22	19	25	22	17	29	32	37	29	30
MAP1LC3B2   	2	2	2	2	3	3	4	5	3	4
MAP1LC3C    	1	0	0	1	0	1	1	2	0	1
MAP1S       	8	7	9	8	8	7	8	7	7	6
MAP2        	38	34	38	39	42	48	51	50	42	40
MAP2K1      	17	15	18	17	15	15	14	23	19	17
MAP2K2      	19	17	18	17	15	14	17	16	13	10
MAP2K3      	8	9	7	9	8	6	5	5	6	5
MAP2K4      	9	9	11	9	9	15	16	16	15	14
MAP2K5      	0	0	0	0	0	0	0	0	0	0
MAP2K6      	10	10	10	9	11	13	13	11	10	9
MAP2K7      	6	6	5	5	5	4	4	5	4	3
MAP3K1      	2	2	4	2	3	3	3	3	3	3
MAP3K10     	1	1	1	1	1	0	1	1	0	0
MAP3K11     	8	7	8	7	6	6	6	7	5	5
MAP3K12     	0	0	0	0	0	0	0	0	0	0
MAP3K13     	10	9	11	11	9	13	12	13	13	13
MAP3K14     	1	1	1	1	1	1	1	1	1	1
MAP3K15     	0	0	1	0	0	0	0	0	0	0
MAP3K2      	3	3	3	3	3	4	4	4	4	4
MAP3K3      	4	4	3	3	3	4	4	4	3	4
MAP3K4      	6	6	7	6	7	9	9	10	8	8
MAP3K5      	0	0	0	0	0	0	0	0	0	0
MAP3K6      	1	0	1	1	1	0	1	1	0	0
MAP3K7      	16	16	15	16	15	22	23	25	20	18
MAP3K8      	1	0	0	1	1	1	1	1	1	0
MAP3K9      	2	1	2	1	2	1	2	1	1	1
MAP4        	14	14	14	13	10	11	11	16	14	13
MAP4K1      	0	0	0	0	0	0	0	0	0	0
MAP4K2      	2	2	1	2	1	1	1	1	1	1
MAP4K3      	10	9	9	9	8	10	10	13	11	11
MAP4K4      	19	18	20	18	16	22	23	29	23	22
MAP4K5      	0	9	0	0	0	0	0	0	0	0
MAP6        	13	12	14	14	11	15	19	18	15	15
MAP6D1      	5	5	6	6	5	7	8	9	7	7
MAP7        	2	3	3	0	0	2	4	3	2	2
MAP7D1      	16	15	17	16	13	16	16	20	14	16
MAP7D2      	0	1	0	0	2	1	1	2	1	1
MAP7D3      	3	2	4	3	2	3	3	3	3	3
MAP9        	2	3	3	3	3	3	3	3	3	3
MAPK1       	14	13	15	14	13	20	21	23	20	19
MAPK10      	22	22	24	22	15	23	24	37	31	31
MAPK11      	3	2	2	3	2	1	2	2	1	2
MAPK12      	9	7	7	8	7	9	9	11	7	7
MAPK13      	0	0	0	0	0	0	0	0	0	0
MAPK14      	4	0	0	4	0	6	6	0	5	5
MAPK15      	1	0	1	1	1	0	0	1	0	1
MAPK1IP1L   	20	18	21	19	18	23	24	29	24	24
MAPK3       	20	20	19	19	14	12	13	14	12	10
MAPK4       	3	3	3	3	3	4	5	4	3	3
MAPK6       	9	10	13	10	11	13	14	17	13	13
MAPK7       	11	12	12	12	13	8	10	11	9	10
MAPK8       	0	0	0	0	0	0	0	0	0	0
MAPK8IP1    	3	3	3	3	2	2	2	3	2	2
MAPK8IP2    	5	6	5	6	5	4	4	5	4	4
MAPK8IP3    	0	0	0	0	0	0	0	0	0	0
MAPK9       	0	0	0	0	0	0	0	0	0	0
MAPKAP1     	26	24	25	24	23	29	27	29	22	22
MAPKAPK2    	12	12	14	12	9	8	8	10	10	8
MAPKAPK3    	7	6	6	6	5	8	7	7	6	6
MAPKAPK5    	0	0	25	0	0	0	0	31	0	27
MAPKBP1     	0	0	0	0	0	0	0	0	0	0
MAPRE1      	20	19	25	21	21	28	27	32	25	24
MAPRE2      	13	11	11	11	13	13	14	15	13	12
MAPRE3      	4	3	4	4	3	3	3	3	3	3
MAPT        	0	0	0	0	0	0	0	0	0	0
MARCH1      	0	0	0	0	0	0	1	0	0	0
MARCH10     	0	0	0	0	0	0	0	0	0	0
MARCH11     	0	0	0	0	0	0	0	0	0	0
MARCH2      	12	9	9	12	6	8	6	8	7	8
MARCH3      	1	1	1	1	1	1	1	1	1	1
MARCH4      	0	0	0	0	0	0	0	0	0	0
MARCH5      	15	13	15	14	13	18	18	21	17	16
MARCH6      	7	6	6	5	5	7	7	8	7	7
MARCH7      	22	22	30	23	23	33	33	42	32	31
MARCH8      	3	3	0	5	4	5	6	6	5	4
MARCH9      	4	4	4	4	2	3	4	4	3	3
MARCKS      	43	39	48	40	30	39	37	53	39	41
MARCKSL1    	69	65	76	62	57	62	62	80	54	58
MARCO       	1	1	0	1	1	0	0	0	1	0
MARK1       	3	3	3	2	3	4	4	4	4	3
MARK2       	0	0	0	0	0	0	7	0	6	0
MARK2P9     	0	0	0	0	0	0	0	0	0	0
MARK3       	17	16	17	15	15	20	21	22	18	19
MARK4       	0	0	0	0	0	0	0	0	0	0
MARS        	17	15	19	17	18	21	21	24	19	17
MARS2       	4	4	5	4	5	5	6	5	5	4
MARVELD1    	6	6	7	5	6	5	5	5	4	5
MARVELD2    	0	0	0	0	0	0	0	0	0	0
MARVELD3    	0	0	0	0	0	0	0	0	0	0
MAS1        	0	0	0	0	0	0	0	0	0	0
MAS1L       	0	0	0	0	0	0	0	0	0	0
MASP1       	1	1	1	1	1	1	1	1	1	2
MASP2       	1	0	1	1	1	1	1	1	1	1
MAST1       	0	1	0	1	1	0	0	0	0	0
MAST2       	4	4	4	3	4	5	5	5	4	4
MAST3       	1	2	1	1	1	1	2	1	1	1
MAST4       	2	2	2	2	1	1	2	2	3	2
MASTL       	0	0	0	0	0	0	0	0	0	0
MAT1A       	0	0	0	0	0	0	0	0	0	0
MAT2A       	26	24	31	25	28	30	30	37	27	26
MAT2B       	38	34	42	39	34	44	42	51	40	40
MATK        	0	0	0	0	0	0	0	0	0	0
MATL2963    	0	0	0	0	0	0	0	0	0	0
MATN1       	0	0	0	0	0	0	0	0	0	0
MATN2       	0	1	0	0	3	3	3	0	1	1
MATN3       	1	0	1	1	2	2	2	1	1	1
MATN4       	0	0	0	0	0	0	0	0	0	0
MATR3       	30	27	32	28	27	34	33	42	33	31
MAU2        	4	4	4	4	4	5	5	6	5	6
MAVS        	3	3	3	3	3	3	4	3	3	3
MAX         	0	0	0	0	0	0	0	0	0	0
MAZ         	105	117	91	101	78	46	44	43	42	41
MB          	0	0	0	0	0	0	0	0	0	0
MB21D1      	0	0	0	0	0	0	0	0	0	0
MB21D2      	3	3	3	3	3	3	4	4	4	3
MBD1        	15	13	14	0	11	14	15	0	12	12
MBD2        	13	14	16	14	12	17	17	20	19	19
MBD3        	13	12	15	13	10	12	12	15	11	11
MBD3L1      	0	0	0	0	0	0	0	0	0	0
MBD3L2      	0	0	0	0	0	0	0	0	0	0
MBD3L3      	0	0	0	0	0	0	0	0	0	0
MBD3L4      	0	0	0	0	0	0	0	0	0	0
MBD3L5      	0	0	0	0	0	0	0	0	0	0
MBD4        	11	9	11	10	10	15	15	18	14	15
MBD5        	2	2	2	3	2	2	3	3	2	3
MBD6        	10	10	10	9	8	8	9	10	9	8
MBIP        	0	0	0	0	0	0	0	0	0	0
MBL1P       	0	0	0	0	0	0	0	0	0	0
MBL2        	0	0	0	0	0	0	0	0	0	0
MBLAC1      	1	1	1	2	2	1	1	1	1	1
MBLAC2      	2	2	2	2	2	2	2	2	2	2
MBNL1       	0	0	0	0	0	0	0	0	0	0
MBNL2       	4	4	5	4	3	3	4	5	5	5
MBNL3       	0	0	0	3	3	3	3	4	4	4
MBOAT1      	3	4	4	4	3	4	4	5	5	4
MBOAT2      	3	3	3	3	4	3	4	4	4	3
MBOAT4      	0	0	0	0	0	0	0	0	0	0
MBOAT7      	25	27	25	27	22	23	26	23	24	24
MBP         	0	0	0	0	0	0	0	0	0	0
MBTD1       	6	7	7	7	6	8	9	10	9	8
MBTPS1      	8	7	9	8	8	10	11	12	9	9
MBTPS2      	5	5	5	5	5	6	7	6	6	6
MC1R        	0	0	0	1	0	0	0	0	0	1
MC2R        	0	0	0	0	0	0	0	0	0	0
MC3R        	0	0	0	0	0	0	0	0	0	0
MC4R        	0	0	0	0	0	0	0	0	0	0
MC5R        	0	0	0	0	0	0	0	0	0	0
MCAM        	2	2	2	2	1	2	1	2	2	2
MCART1      	0	0	0	0	0	0	0	0	0	0
MCART2      	0	0	0	0	0	0	0	0	0	0
MCART3P     	0	0	0	0	0	0	0	0	0	0
MCART6      	1	1	2	1	1	2	2	2	2	2
MCAT        	6	5	6	7	8	6	6	5	5	5
MCC         	5	4	5	5	8	7	9	6	6	6
MCCC1       	8	7	8	7	6	9	8	9	8	9
MCCC2       	3	2	3	3	3	4	5	4	4	3
MCCD1       	0	0	0	0	0	0	0	0	0	0
MCEE        	2	3	2	6	3	4	4	4	4	3
MCF2        	0	0	0	0	0	0	0	0	0	0
MCF2L       	3	3	4	3	3	4	4	5	4	4
MCF2L-AS1   	1	2	1	1	1	1	1	2	2	1
MCF2L2      	0	0	0	0	0	0	0	0	0	0
MCFD2       	0	0	0	0	0	0	0	0	0	0
MCHR1       	1	1	1	2	1	1	1	1	1	1
MCHR2       	0	0	0	0	0	0	0	0	0	0
MCL1        	43	44	42	41	32	37	36	44	39	39
MCM10       	0	0	0	0	0	0	0	0	0	0
MCM2        	21	18	23	19	19	27	29	32	24	21
MCM3        	29	27	33	28	28	37	37	45	33	31
MCM3AP      	6	7	7	7	6	9	9	9	8	7
MCM3AP-AS1  	1	1	0	0	0	1	1	1	1	1
MCM4        	25	23	28	25	26	30	33	36	27	25
MCM5        	18	15	20	17	16	20	20	25	18	18
MCM6        	24	21	27	23	20	31	31	37	28	27
MCM7        	150	135	132	147	135	136	124	120	124	120
MCM8        	10	9	9	8	10	11	13	12	11	10
MCM9        	4	5	5	4	6	7	8	7	6	6
MCMBP       	14	13	16	13	15	20	21	23	20	19
MCOLN1      	2	2	1	2	1	2	2	2	2	1
MCOLN2      	0	0	0	0	0	0	0	0	0	0
MCOLN3      	0	0	0	0	0	0	0	0	0	0
MCPH1       	7	6	8	7	6	10	9	10	9	9
MCRS1       	62	72	73	72	63	64	68	68	56	61
MCTP1       	3	3	4	4	2	3	2	4	4	3
MCTP2       	0	0	0	0	0	0	0	0	0	0
MCTS1       	2	1	2	2	1	2	2	2	2	2
MCU         	4	4	4	5	4	4	4	4	4	4
MDC1        	10	9	10	8	8	11	12	12	9	9
MDFI        	14	12	15	13	10	12	12	14	10	9
MDFIC       	6	7	6	7	5	6	6	7	6	5
MDGA1       	1	1	1	1	1	0	1	1	1	0
MDGA2       	2	2	3	2	2	3	3	2	2	2
MDH1        	62	53	60	58	59	60	56	59	53	54
MDH1B       	2	1	2	2	2	3	2	2	2	2
MDH2        	37	32	40	33	32	42	43	47	37	35
MDK         	1584	1561	1448	1650	1122	1273	1388	1194	1231	1321
MDM1        	8	10	10	10	8	13	13	11	12	13
MDM2        	13	12	15	13	14	17	18	19	16	14
MDM4        	2	2	2	0	0	2	3	0	0	0
MDN1        	2	2	2	3	3	3	4	4	3	3
MDP1        	27	21	29	26	17	16	11	17	9	13
MDS2        	0	0	0	0	0	0	0	0	0	0
ME1         	3	4	3	4	3	5	4	6	6	5
ME2         	13	12	14	13	11	16	17	21	17	16
ME3         	3	3	2	3	2	1	1	3	2	2
MEA1        	151	104	126	117	110	107	108	115	98	100
MEAF6       	18	14	18	16	16	23	22	24	20	21
MECOM       	0	0	0	0	0	0	0	0	0	0
MECP2       	5	6	5	5	4	4	5	5	5	4
MECR        	5	5	4	5	4	6	7	7	6	5
MED1        	13	13	15	13	12	16	19	19	17	15
MED10       	16	14	17	16	12	20	20	20	16	16
MED11       	16	15	16	15	13	13	14	16	12	12
MED12       	7	6	7	5	6	7	8	8	7	6
MED12L      	0	1	2	1	1	0	1	0	1	1
MED13       	8	8	9	8	8	11	12	13	11	10
MED13L      	5	6	5	5	6	6	7	7	7	6
MED14       	11	9	11	10	9	12	14	17	15	14
MED15       	12	12	11	10	8	10	11	14	10	10
MED16       	15	13	15	13	11	14	15	15	13	11
MED17       	8	6	8	7	7	10	10	11	10	9
MED18       	8	8	6	9	5	0	3	0	0	5
MED19       	13	10	14	11	10	16	16	20	15	17
MED20       	6	5	6	6	5	8	9	9	7	7
MED21       	16	16	16	15	16	25	25	29	25	23
MED22       	60	59	52	54	44	42	35	35	40	39
MED23       	3	4	4	3	3	5	5	4	4	3
MED24       	17	17	0	0	13	0	0	16	0	0
MED25       	9	7	8	7	7	6	6	7	6	5
MED26       	3	3	3	4	4	4	4	5	3	3
MED27       	10	8	13	10	8	12	13	15	11	11
MED28       	16	14	18	17	13	23	24	24	21	22
MED29       	6	5	6	6	5	6	6	6	5	5
MED30       	11	9	11	7	7	11	10	9	8	8
MED31       	10	9	12	11	9	13	12	14	13	14
MED4        	21	19	23	21	19	31	30	34	27	28
MED6        	9	9	11	9	8	12	14	12	11	10
MED7        	19	19	21	18	20	28	26	28	25	27
MED8        	17	15	21	22	15	24	24	27	24	23
MED9        	8	8	10	8	7	7	8	9	6	7
MEF2A       	5	5	6	5	5	6	6	7	6	6
MEF2B       	4	5	3	4	2	3	2	2	3	3
MEF2BNB     	17	14	16	14	11	14	15	14	13	15
MEF2BNB-MEF2B	0	0	0	0	0	0	0	0	0	0
MEF2C       	0	0	0	0	0	0	0	0	0	0
MEF2D       	1	2	2	1	1	1	1	1	1	1
MEFV        	0	0	0	0	0	0	0	0	0	0
MEG3        	0	0	0	0	0	0	0	0	0	0
MEG8        	0	0	0	0	0	0	0	1	0	0
MEGF10      	5	5	5	5	5	6	6	8	7	6
MEGF11      	1	1	1	1	1	1	0	1	1	1
MEGF6       	1	1	1	1	1	1	0	1	1	1
MEGF8       	4	4	4	4	3	4	4	4	3	3
MEGF9       	6	5	6	5	5	5	6	8	6	5
MEI1        	0	0	0	0	0	0	0	0	0	0
MEIG1       	6	2	2	4	3	4	6	5	4	5
MEIS1       	9	7	8	8	7	10	11	12	10	10
MEIS2       	1	0	0	1	0	0	1	1	0	0
MEIS3       	26	30	30	34	20	19	17	18	19	22
MEIS3P1     	1	0	1	1	1	0	1	1	1	1
MELK        	17	13	16	16	14	21	20	23	18	16
MEMO1       	0	0	0	0	0	0	0	0	0	0
MEN1        	0	0	0	0	8	0	0	0	0	0
MEOX1       	0	0	0	0	0	0	0	0	0	0
MEOX2       	0	0	0	0	0	0	0	0	0	0
MEP1A       	0	0	0	0	0	0	0	0	0	0
MEP1B       	0	0	0	0	0	0	0	0	0	0
MEPCE       	27	30	31	30	29	36	37	33	29	33
MEPE        	0	0	0	0	0	0	0	0	0	0
MERTK       	1	1	1	1	1	1	1	1	1	1
MESDC1      	12	11	14	12	11	15	13	16	14	15
MESDC2      	11	11	12	11	9	13	13	15	12	12
MESP1       	2	0	2	1	1	1	2	1	1	1
MESP2       	0	0	0	0	0	0	0	0	0	0
MEST        	111	118	114	112	82	80	66	95	86	96
MESTIT1     	0	0	0	0	0	0	0	0	0	0
MET         	0	0	0	0	0	0	0	0	0	0
METAP1      	13	10	14	13	12	18	19	19	15	16
METAP1D     	3	2	2	2	3	3	3	4	3	3
METAP2      	23	21	25	23	23	32	32	37	29	29
METRN       	34	27	33	30	27	33	33	38	26	28
METRNL      	22	21	26	25	20	22	18	30	24	23
METTL1      	16	17	17	19	18	20	18	22	19	17
METTL10     	5	4	6	5	5	6	7	7	6	6
METTL11A    	35	26	35	0	29	39	37	36	31	29
METTL11B    	0	0	0	0	0	0	0	0	0	0
METTL12     	3	3	3	4	4	3	3	2	3	3
METTL13     	13	13	13	14	13	18	19	20	16	17
METTL14     	7	7	8	7	6	11	12	13	10	8
METTL15     	0	0	0	0	1	1	1	0	0	1
METTL16     	5	5	4	4	4	5	6	5	4	5
METTL17     	19	16	16	19	23	20	18	19	18	20
METTL18     	9	9	8	8	8	11	12	14	11	11
METTL19     	2	1	1	1	1	1	1	2	1	1
METTL20     	0	0	2	2	0	1	2	2	1	2
METTL21A    	2	2	3	2	3	4	4	4	3	3
METTL21B    	3	2	2	2	2	2	3	3	3	3
METTL21C    	0	0	0	0	0	0	0	0	0	0
METTL21D    	3	4	4	5	5	4	5	6	5	5
METTL22     	6	5	7	6	6	7	8	7	6	7
METTL23     	50	53	43	49	47	51	52	53	44	42
METTL2A     	3	3	4	3	3	3	3	3	3	3
METTL2B     	1	1	3	2	2	3	3	3	2	2
METTL3      	21	20	20	21	18	22	24	25	22	21
METTL4      	3	2	3	3	3	4	4	4	4	4
METTL5      	24	19	23	22	22	34	31	32	27	28
METTL6      	6	4	5	6	6	7	7	8	6	6
METTL7A     	5	6	6	5	4	7	7	7	6	7
METTL7B     	1	0	1	1	0	0	1	0	0	0
METTL8      	2	2	2	2	2	2	2	2	2	2
METTL9      	0	0	0	0	0	0	0	0	0	0
MEX3A       	11	9	11	9	9	8	10	11	9	8
MEX3B       	7	8	8	7	6	8	8	9	8	8
MEX3C       	9	8	10	8	8	11	12	12	9	9
MEX3D       	12	12	13	12	11	10	9	10	8	8
MFAP1       	25	21	26	22	20	32	32	37	29	29
MFAP2       	0	0	0	0	0	0	0	0	0	0
MFAP3       	9	9	10	9	9	10	11	11	9	9
MFAP3L      	1	1	1	1	1	1	1	1	1	1
MFAP4       	0	1	0	0	0	0	0	1	1	0
MFAP5       	0	0	0	0	0	0	0	0	0	0
MFF         	12	13	14	12	11	20	20	22	19	20
MFGE8       	96	92	80	96	62	46	43	38	45	41
MFHAS1      	2	2	2	2	2	2	3	2	2	1
MFI2        	0	0	1	1	0	0	1	1	1	1
MFI2-AS1    	4	4	3	4	3	2	2	3	3	3
MFN1        	4	4	3	4	3	4	4	4	3	4
MFN2        	15	13	16	14	13	15	18	16	14	15
MFNG        	0	0	0	0	0	0	0	0	0	0
MFSD1       	11	8	9	9	8	11	11	12	11	11
MFSD10      	12	12	11	9	7	6	7	5	5	5
MFSD11      	4	5	4	5	5	5	6	6	5	6
MFSD2A      	37	33	29	34	37	27	24	21	21	21
MFSD2B      	0	0	0	0	0	0	0	0	0	0
MFSD3       	4	5	6	5	4	5	6	6	5	3
MFSD4       	0	0	0	0	0	0	0	0	0	0
MFSD5       	25	22	24	26	22	26	26	26	23	21
MFSD6       	0	1	1	0	1	1	1	1	1	1
MFSD6L      	0	0	0	0	0	0	0	0	0	0
MFSD7       	0	0	0	0	0	0	0	0	0	0
MFSD8       	2	2	2	2	2	2	3	2	2	2
MFSD9       	2	1	2	2	1	2	2	1	2	2
MGA         	4	4	4	4	4	5	7	7	6	5
MGAM        	0	0	0	0	0	0	0	0	0	0
MGAT1       	15	15	17	15	13	14	16	17	13	12
MGAT2       	7	8	8	8	7	10	10	12	9	10
MGAT3       	5	5	5	5	3	3	3	3	3	3
MGAT4A      	4	3	3	3	3	3	3	4	5	4
MGAT4B      	16	14	15	14	11	11	11	12	11	10
MGAT4C      	0	0	0	0	0	0	0	0	0	0
MGAT5       	5	4	4	3	4	5	5	5	5	5
MGAT5B      	10	0	0	0	0	0	0	0	0	0
MGC12916    	14	13	17	16	15	15	18	24	18	19
MGC12982    	0	0	0	0	0	0	0	0	0	0
MGC14436    	0	0	0	0	0	0	0	0	0	0
MGC15885    	0	0	0	0	0	0	0	0	0	0
MGC16025    	0	0	0	0	0	0	0	0	0	0
MGC16075    	0	0	0	0	0	0	0	0	0	0
MGC16121    	1	1	1	1	2	1	1	1	1	2
MGC16142    	1	1	1	0	0	1	1	2	1	1
MGC16275    	1	1	1	1	1	2	2	2	1	1
MGC16703    	0	0	0	0	1	0	0	0	0	0
MGC21881    	0	0	0	0	0	0	0	0	0	0
MGC23270    	0	0	0	0	0	0	0	0	0	0
MGC23284    	1	1	1	1	1	2	1	2	2	1
MGC27382    	0	0	0	0	0	0	0	0	0	0
MGC2752     	6	5	6	4	5	5	4	5	4	5
MGC2889     	0	0	0	0	0	0	0	0	0	0
MGC34034    	0	0	0	0	0	0	0	0	0	0
MGC3771     	0	0	0	0	0	0	0	0	0	0
MGC39372    	0	0	0	0	0	0	0	0	0	0
MGC39584    	0	0	0	0	0	0	0	0	0	0
MGC44328    	0	0	0	0	0	0	0	0	0	0
MGC4473     	0	0	0	0	0	0	0	0	0	0
MGC45800    	3	2	3	3	2	3	2	3	3	3
MGC45922    	0	0	0	0	0	0	0	0	0	0
MGC57346    	6	6	5	5	6	7	6	6	5	6
MGC70870    	0	0	0	0	0	0	0	0	0	0
MGC72080    	7	6	7	6	4	8	6	5	6	5
MGEA5       	10	10	12	11	10	12	15	15	13	14
MGLL        	0	0	0	0	0	0	0	0	0	0
MGMT        	5	4	4	6	4	5	6	5	4	5
MGP         	0	0	0	0	0	0	0	0	0	0
MGRN1       	0	16	15	17	0	0	0	0	0	0
MGST1       	63	59	76	78	77	93	83	73	70	74
MGST2       	9	12	10	9	7	9	8	9	6	7
MGST3       	22	21	23	22	17	21	22	26	20	20
MIA         	0	2	0	0	0	0	1	0	0	0
MIA-RAB4B   	0	0	0	0	0	0	0	0	0	0
MIA2        	0	0	0	0	0	0	0	0	0	0
MIA3        	4	4	4	4	4	6	7	7	6	5
MIAT        	0	0	0	0	0	1	0	0	2	0
MIB1        	14	14	16	13	12	17	19	22	19	17
MIB2        	5	5	4	0	0	0	4	0	0	3
MICA        	2	1	1	2	2	0	1	1	1	1
MICAL1      	5	6	6	8	6	5	5	5	6	6
MICAL2      	0	0	0	0	0	0	0	0	0	0
MICAL3      	3	3	3	3	4	3	3	3	3	2
MICALCL     	0	0	0	0	0	0	0	0	0	0
MICALL1     	5	5	5	6	5	5	5	6	5	5
MICALL2     	1	1	0	1	0	0	1	1	0	0
MICB        	0	1	0	0	0	0	1	1	0	0
MICU1       	0	0	0	0	0	0	0	0	0	0
MID1        	20	19	21	19	17	21	24	29	25	24
MID1IP1     	13	12	13	13	12	11	11	11	10	10
MID2        	0	0	0	0	0	0	0	0	0	0
MIDN        	23	21	25	21	19	19	21	25	20	20
MIER1       	4	0	0	0	4	0	0	0	0	0
MIER2       	5	5	5	5	4	5	5	6	5	5
MIER3       	3	4	3	4	4	4	5	5	5	4
MIF         	1503	1417	1467	1594	1462	1667	1578	1290	1294	1322
MIF4GD      	29	22	21	24	14	20	22	18	16	17
MIIP        	10	9	9	9	9	9	9	10	8	7
MILR1       	0	0	0	0	0	0	0	0	0	0
MIMT1       	4	4	3	4	2	2	3	4	3	5
MINA        	3	0	2	3	3	3	0	0	3	0
MINK1       	0	0	0	0	4	0	5	0	0	0
MINPP1      	7	8	7	7	5	10	10	9	9	8
MIOS        	5	4	6	4	5	7	8	8	7	7
MIOX        	0	0	0	0	0	0	0	0	0	0
MIP         	0	0	0	0	0	0	0	0	0	0
MIPEP       	2	2	3	3	4	5	5	4	4	3
MIPOL1      	0	0	0	0	0	0	0	0	1	0
MIR1-1      	0	0	0	0	0	0	0	0	0	0
MIR1-2      	0	0	0	0	0	0	0	0	0	0
MIR100      	0	0	0	0	0	0	0	0	0	0
MIR100HG    	5	5	6	5	6	8	7	8	7	6
MIR101-1    	0	0	0	0	0	0	0	0	0	0
MIR101-2    	0	0	0	0	0	0	0	0	0	0
MIR103A1    	0	0	0	0	0	0	0	0	0	0
MIR103A2    	0	0	174	142	0	0	0	0	110	0
MIR103B1    	0	0	0	0	0	0	0	0	0	0
